,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013
253,Uruguay,84.7446006170723,83.961832933379,83.1333561878643,83.8418466460976,84.6417552279739,82.4648611587247,82.9962290023997,81.304993715004,82.0649068677865
204,Saudi Arabia,80.8102563625453,80.7902534784085,80.7907186617605,80.7428047765027,80.6790746572762,80.6655843400676,80.6572110397313,80.6372081555945,80.6139489879936
119,Kazakhstan,78.6331814646072,78.481497944216,78.3181835018706,78.1017890876764,78.0765640626736,80.4392339889617,80.3750416712968,80.3837833833389,80.3771159758492
137,Libya,8.74376257430919,8.74376257430919,8.74376257430919,8.74376257430919,8.74376257430919,8.72443934210078,8.72443934210078,8.72671266353706,8.72671266353706
125,Kuwait,8.41750841750842,8.41750841750842,8.47362514029181,8.47362514029181,8.5016835016835,8.5297418630752,8.55780022446689,8.5297418630752,8.61952861952862
95,Guyana,8.5242570485141,8.5242570485141,8.5242570485141,8.5242570485141,8.5242570485141,8.5242570485141,8.5242570485141,8.5242570485141,8.5242570485141
39,Central African Republic,8.37105525056984,8.36302931073229,8.36302931073229,8.36302931073229,8.39513307008251,8.15435487495586,8.15435487495586,8.15435487495586,8.15435487495586
216,South Africa,80.359247871139,79.8687648896619,79.8704135719526,80.0501199416366,79.9511990041959,79.871237913098,79.4450535409574,79.830020855831,79.830020855831
32,Burundi,70.8333333333333,69.4314641744548,67.4844236760125,69.4314641744548,71.3785046728972,71.3785046728972,73.3255451713396,75.2725856697819,79.1666666666667
176,Nigeria,79.8225677174259,80.4813509448049,80.9205397630576,79.8225677174259,75.7600711485886,76.8580431942203,77.956015239852,79.0539872854837,77.7364208307256
66,El Salvador,75.530888030888,71.1389961389961,72.5868725868726,74.8069498069498,74.5656370656371,74.0830115830116,74.469111969112,75.8687258687259,76.3513513513514
234,Syrian Arab Republic,75.3282126709157,75.5704405598214,75.6752341537791,75.6806795905032,75.7351339577434,75.7392582911289,75.7773784240048,75.8100528236127,75.8100528236127
68,Eritrea,74.4752475247525,74.970297029703,74.970297029703,74.970297029703,75.1683168316832,75.1683168316832,75.1683168316832,75.1683168316832,75.1683168316832
161,Moldova,75.9805411979325,75.4940711462451,75.554879902706,75.4332623897841,75.1596229857099,75.0380517503805,74.9467275494673,74.8630553864881,74.8479318734793
200,Rwanda,72.2699635184435,73.0826915281719,73.1609241994325,73.2646939602756,73.3226591001216,73.1220105391163,73.6295095257398,73.6007296311309,74.6858532630726
135,Lesotho,76.6469038208169,75.9881422924901,76.7127799736495,77.7997364953887,77.0421607378129,76.6139657444005,76.1528326745718,75.2733860342556,74.1798418972332
57,Djibouti,73.3822260569456,73.3951682484901,73.4037963761864,73.3908541846419,73.3951682484901,73.4081104400345,73.4253666954271,73.4253666954271,73.4253666954271
163,Mongolia,73.0254383480522,73.5394835088442,73.5137361930019,73.4725404876542,73.171296892299,73.1146527974459,73.0625144828652,72.9909369448235,72.9356445840521
244,Turkmenistan,74.2238205690209,73.8407847977358,73.5215883216649,73.0959930202371,72.7874364267018,72.3512012427383,72.0064690485817,72.0064690485817,72.0064690485817
247,Uganda,66.3730544016816,67.3777588709274,68.3824633401732,69.6374055352585,70.6421100045043,71.1400359066427,71.8880909634949,72.1374426491123,71.8880909634949
